Date,Sales
2023-01-01,1200
2023-01-02,1250
2023-01-03,1230
2023-01-04,1300
2023-01-05,1350
2023-01-06,1400
2023-01-07,1380
2023-01-08,1450
2023-01-09,1500
2023-01-10,1480
2023-01-11,1550
2023-01-12,1600
2023-01-13,1580
2023-01-14,1650
2023-01-15,1700
2023-01-16,1750
2023-01-17,1720
2023-01-18,1780
2023-01-19,1800
2023-01-20,1850
2023-01-21,1820
2023-01-22,1880
2023-01-23,1900
2023-01-24,1950
2023-01-25,2000
2023-01-26,2050
2023-01-27,2020
2023-01-28,2100
2023-01-29,2150
2023-01-30,2200
2023-01-31,2250
2023-02-01,2300
2023-02-02,2280
2023-02-03,2350
2023-02-04,2400
2023-02-05,2450
2023-02-06,2500
2023-02-07,2480
2023-02-08,2550
2023-02-09,2600
2023-02-10,2650
2023-02-11,2700
2023-02-12,2680
2023-02-13,2750
2023-02-14,2800
2023-02-15,2850
2023-02-16,2900
2023-02-17,2950
2023-02-18,3000
